序号,类型,路径
1,PHP一句话后门-建议清理,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\.shell.php
2,PHP一句话后门-建议清理,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\1.php
3,PHP一句话后门-建议清理,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\1.tar
4,PHP一句话后门-建议清理,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\index.php
5,疑似PHP后门-建议人工确认,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\include\Db\Sqlite.php
6,疑似PHP后门-建议人工确认,C:\Users\HK\Desktop\AutoIR_MCP\downloads\2026_05_21_16_06_51\include\Model\Spider.php
